Accession			Taxon name			ITS1 localization			Sequence description
AF453893			Aspergillus flavus			ENA			Aspergillus flavus strain ATCC 64025 internal transcribed spacer 1, complete sequence.i
AJ853743			Aspergillus flavus			ENA			Aspergillus flavus 18S rRNA gene (partial), 5.8S rRNA gene, 28S rRNA gene (partial), ITS1 and ITS2, strain WM 04.471i
AJ853764			Aspergillus flavus			ENA			Aspergillus flavus 18S rRNA gene (partial), 5.8S rRNA gene, 28S rRNA gene (partial), ITS1 and ITS2, strain WM 03.223i
AJ871014			Aspergillus flavus			ENA			Aspergillus flavus 18S rRNA gene (partial), 5.8S rRNA gene, 28S rRNA gene (partial), ITS1 and ITS2, isolate Kw 623i
AJ871014			Aspergillus flavus			HMM			Aspergillus flavus 18S rRNA gene (partial), 5.8S rRNA gene, 28S rRNA gene (partial), ITS1 and ITS2, isolate Kw 623i
AJ874128			Aspergillus flavus			ENA			Aspergillus flavus 18S rRNA gene (partial), ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene (partial), isolate IBT 16808i
AJ874128			Aspergillus flavus			HMM			Aspergillus flavus 18S rRNA gene (partial), ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene (partial), isolate IBT 16808i
AJ876522			Aspergillus flavus			ENA			Aspergillus flavus partial 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and partial 26S rRNA gene, isolate Kw 623-04i
AJ876522			Aspergillus flavus			HMM			Aspergillus flavus partial 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and partial 26S rRNA gene, isolate Kw 623-04i
AM745114			Aspergillus flavus			ENA			Aspergillus flavus ITS1, 5.8S rRNA gene and ITS2, strain MBBP1i
AM745114			Aspergillus flavus			HMM			Aspergillus flavus ITS1, 5.8S rRNA gene and ITS2, strain MBBP1i
AY214444			Aspergillus flavus			HMM			Aspergillus flavus strain UWFP 533 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AY214445			Aspergillus flavus			HMM			Aspergillus flavus strain UWFP 570 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AY373848			Aspergillus flavus			ENA			Aspergillus flavus strain SRRC 1000A 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AY373848			Aspergillus flavus			HMM			Aspergillus flavus strain SRRC 1000A 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AY521473			Aspergillus flavus			ENA			Aspergillus flavus strain UAMH 6982 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AY677676			Aspergillus flavus			ENA			Aspergillus flavus strain 290499/60 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
AY755519			Aspergillus flavus			ENA			Aspergillus flavus strain Af0016 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.i
AY939782			Aspergillus flavus			ENA			Aspergillus flavus strain ATCC 20043 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AY939782			Aspergillus flavus			HMM			Aspergillus flavus strain ATCC 20043 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AY939785			Aspergillus flavus			ENA			Aspergillus flavus isolate VA 103936-04 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AY939785			Aspergillus flavus			HMM			Aspergillus flavus isolate VA 103936-04 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
D84353			Aspergillus flavus			ENA			Aspergillus flavus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, isolate: P-39-1.i
DQ026004			Aspergillus flavus			ENA			Aspergillus flavus AHS-513-254 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ467980			Aspergillus flavus			HMM			Aspergillus flavus strain TK4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ467981			Aspergillus flavus			HMM			Aspergillus flavus strain UR3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ467982			Aspergillus flavus			HMM			Aspergillus flavus strain UR24 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ683118			Aspergillus flavus			ENA			Aspergillus flavus isolate M 278/05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ683119			Aspergillus flavus			ENA			Aspergillus flavus isolate M 279/05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ683120			Aspergillus flavus			ENA			Aspergillus flavus isolate M 479/05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ683121			Aspergillus flavus			ENA			Aspergillus flavus isolate M 426/05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ683122			Aspergillus flavus			ENA			Aspergillus flavus isolate M 549/05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ683123			Aspergillus flavus			ENA			Aspergillus flavus isolate M 549/05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
DQ683124			Aspergillus flavus			ENA			Aspergillus flavus isolate M 1184/05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF121332			Aspergillus flavus			ENA			Aspergillus flavus strain CICC 2219 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF205326			Aspergillus flavus			ENA			Aspergillus flavus strain BMU 35035 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409770			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb004 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409781			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb015 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409782			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb016 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409783			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb017 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409787			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb021 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409788			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb022 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409789			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb023 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409792			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb026 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409804			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb038 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409805			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb039 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409807			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb041 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409808			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb042 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409810			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb044 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF409814			Aspergillus flavus			HMM			Aspergillus flavus isolate ucb048 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF567957			Aspergillus flavus			ENA			Aspergillus flavus strain WM 06.355 isolate ISHAM-ITS_ID MITS151 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF567958			Aspergillus flavus			ENA			Aspergillus flavus strain WM 06.93 isolate ISHAM-ITS_ID MITS152 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF567959			Aspergillus flavus			ENA			Aspergillus flavus strain WM 06.94 isolate ISHAM-ITS_ID MITS153 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF592170			Aspergillus flavus			HMM			Aspergillus flavus 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
EF634388			Aspergillus flavus			ENA			Aspergillus flavus isolate NRRL 35198 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF661547			Aspergillus flavus			ENA			Aspergillus flavus isolate NRRL 20521 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF661549			Aspergillus flavus			ENA			Aspergillus flavus isolate NRRL 2097 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF661552			Aspergillus flavus			ENA			Aspergillus flavus isolate NRRL 3518 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF661554			Aspergillus flavus			ENA			Aspergillus flavus isolate NRRL 3751 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF661562			Aspergillus flavus			ENA			Aspergillus flavus isolate NRRL 458 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF661563			Aspergillus flavus			ENA			Aspergillus flavus isolate NRRL 4818 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF661564			Aspergillus flavus			ENA			Aspergillus flavus isolate NRRL 4822 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EF661566			Aspergillus flavus			ENA			Aspergillus flavus isolate NRRL 4998 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EU645706			Aspergillus flavus			HMM			Aspergillus flavus strain IK20 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EU664478			Aspergillus flavus			HMM			Aspergillus flavus strain 095618 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EU833206			Aspergillus flavus			HMM			Aspergillus flavus strain A1.7 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EU982011			Aspergillus flavus			ENA			Aspergillus flavus strain ATHUM 5015 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
EU982012			Aspergillus flavus			ENA			Aspergillus flavus strain ATHUM 5033 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ011539			Aspergillus flavus			HMM			Aspergillus flavus isolate SUMS0060 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ011545			Aspergillus flavus			HMM			Aspergillus flavus isolate SUMS0062 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ174695			Aspergillus flavus			ENA			Aspergillus flavus strain NRRL 6541 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216382			Aspergillus flavus			ENA			Aspergillus flavus isolate SX8-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216383			Aspergillus flavus			ENA			Aspergillus flavus isolate SD1-4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216384			Aspergillus flavus			ENA			Aspergillus flavus isolate SD3-2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216385			Aspergillus flavus			ENA			Aspergillus flavus isolate SD3-5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216386			Aspergillus flavus			ENA			Aspergillus flavus isolate SD4-2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216387			Aspergillus flavus			ENA			Aspergillus flavus isolate SX6-6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216388			Aspergillus flavus			ENA			Aspergillus flavus isolate SX7-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216389			Aspergillus flavus			ENA			Aspergillus flavus isolate GS9-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216390			Aspergillus flavus			ENA			Aspergillus flavus isolate ZJHZ42 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216391			Aspergillus flavus			ENA			Aspergillus flavus isolate SX6-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ216392			Aspergillus flavus			ENA			Aspergillus flavus isolate SD4-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ389893			Aspergillus flavus			HMM			Aspergillus flavus isolate CTB430 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ487932			Aspergillus flavus			HMM			Aspergillus flavus strain ZJ4-A 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ537092			Aspergillus flavus			HMM			Aspergillus flavus isolate South-west0036 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ537130			Aspergillus flavus			HMM			Aspergillus flavus isolate South-west0063 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ654434			Aspergillus flavus			ENA			Aspergillus flavus strain NA9 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878654			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 10337-18 isolate ISHAM-ITS_ID MITS127 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878654			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 10337-18 isolate ISHAM-ITS_ID MITS127 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878655			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 10259-2 isolate ISHAM-ITS_ID MITS126 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878655			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 10259-2 isolate ISHAM-ITS_ID MITS126 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878656			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 10017 isolate ISHAM-ITS_ID MITS124 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878656			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 10017 isolate ISHAM-ITS_ID MITS124 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878657			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8790 isolate ISHAM-ITS_ID MITS144 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878657			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8790 isolate ISHAM-ITS_ID MITS144 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878658			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 3705 isolate ISHAM-ITS_ID MITS132 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878658			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 3705 isolate ISHAM-ITS_ID MITS132 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878659			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8934 isolate ISHAM-ITS_ID MITS145 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878659			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8934 isolate ISHAM-ITS_ID MITS145 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878660			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8744 isolate ISHAM-ITS_ID MITS141 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
